numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
201122282B;Contamination Chimique des Ecosystèmes Marins;RBE-CCEM;2011;Unité propre;21;2;;IFREMER - Centre de Nantes - Rue de l'Ile d'Yeu - BP 21105;44311;NANTES Cedex 03;AMOUROUX;Isabelle;;;Institut Francais de Recherche pour l'Exploitation de la Mer;IFREMER;EPIC;Organismes de type EPIC;0922262J;33071536800032;TUTE;établissement tutelle;;200418931P,201122269M;;;;;4,5,10;Chimie,Biologie, médecine et santé,Sciences agronomiques et écologiques;"PE10;LS8;PE4;LS1;LS2";Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling,Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics,Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling,Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201122282B&PUBLIC=OK
201321612P;Plate-Forme Technologique Production et Purification de Protéines Recombinantes;;2013;Unité propre;21;2;https://research.pasteur.fr/en/team/recombinant-proteins-in-prokaryotic-cells/ https://research.pasteur.fr/en/team/recombinant-proteins-in-eukaryotic-cells/;Institut Pasteur, 25-28 rue du Docteur ROUX;75724;Paris Cedex 15;PETRES;Stéphane;;;Centre national de la recherche scientifique,Institut Pasteur;CNRS,INSTITUT PASTEUR;EPST,FONDATION;Organismes de type EPST,Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0753639Y,0755366A;18008901303720,77568489700017;TUTE,TUTE;établissement tutelle,établissement tutelle;;200621927M,201822815A;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201321612P&PUBLIC=OK
201321618W;Unité de Biologie des Infections;;2013;Unité mixte;22;2;http://www.pasteur.fr/research/biu;Institut Pasteur, 25-28 rue du Docteur Roux;75724;Paris Cedex 15;;;;U 1117;Institut national de la sante et de la recherche medicale,Institut Pasteur;INSERM,INSTITUT PASTEUR;EPST,FONDATION;Organismes de type EPST,Fondation et institut particulier (Institut pasteur, Institut Curie, etc.);0755364Y,0755366A;18003604800015,77568489700017;TUTE,TUTE;établissement tutelle,établissement tutelle;;200621925K;;;;;;;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201321618W&PUBLIC=OK
200715436C;UR 4196 CULTURES ET LITTERATURES DES MONDES ANGLOPHONES;CLIMAS;2007;Unité propre;21;2;http://climas.u-bordeaux-montaigne.fr/;Université Bordeaux Montaigne - CLIMAS UFR Langues et Civilisations - DOMAINE UNIVERSITAIRE - ESPLANADE DES ANTILLES;33607;PESSAC;ANTOLIN,LAURENT;Pascale,Béatrice;Directrice,Directrice adjointe;EA 4196;Université Bordeaux Montaigne;BORDEAUX 3;UNIV;Université;0331766R;19331766600017;TUTE;établissement tutelle;;;199513640C,199113143E;"éclatement - fusion;éclatement - fusion";"EF;EF";"2007;2007";6;Sciences humaines et humanités;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200715436C&PUBLIC=OK
201722465Z;TERRITOIRES;;2017;Unité mixte;22;2;http://www.umr-territoires.fr;INRAE - 9 avenue Blaise Pascal - CS 20085;63178;Aubière Cedex;BERTHOME,CORNU,JEANNEAUX,ROTH,VEDRINE;Karim,Pierre,Philippe,Hélène,Lionel;Directeur adjoint,Directeur,Directeur adjoint,Directrice adjointe,Directeur adjoint;UMR 1273,UMR 1273;VetAgro Sup,AgroParisTech (Inst Sc et Ind du Vivant et Environnement),Institut national de recherche pour l'agriculture, l'alimentation et l'environnement,Université Clermont Auvergne  (EPE);VETAGRO SUP,AGROPARISTECH,INRAE,U Clermont Auvergne;AUT_ETAB,AUT_ETAB,EPST,UNIV;Autres établissements ESR,Autres établissements ESR,Organismes de type EPST,Université;0690193K,0753465J,0632084Y;13000858400018,13000285000134,18007003901803,13002806100013;TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;201723024G,201723023F,201723022E,201723021D;200610832C;199717823R,199213298U;"fusion;fusion";"F;F";"2017;2017";10;Sciences agronomiques et écologiques;"SH1;SH3";Individuals, Markets and Organisations : Economics, finance, management,The Social World and Its Interactions : Sociology, social psychology, education sciences, communication studies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201722465Z&PUBLIC=OK
201722474J;Centre Interdisciplinaire de Recherche Normand en Education et Formation;CIRNEF;2017;Unité mixte;22;2;;;;;WITTORSKI,SAILLOT;Richard,ERIC;Directeur de l'UR,Responsable Caennais;EA 7454,UR 7454;Université de Caen Normandie,Université Rouen;CAEN,ROUEN;UNIV,UNIV;Université,Université;0141408E,0761904G;19141408500016,19761904200017;TUTE,TUTE;établissement tutelle,établissement tutelle;;;199213285E,199814171S;"fusion;fusion";"F;F";"2017;2017";;;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201722474J&PUBLIC=OK
199712632Y;Institut de mathématiques de Jussieu - Paris Rive Gauche;IMJ-PRG;1997;Unité mixte;22;2;http://www.imj-prg.fr;UPMC - 4 Place Jussieu;75252;PARIS CEDEX 05;ITENBERG,HERNANDEZ;Ilia,David;DUA,DU;UMR 7586,UMR 7586,UMR 7586;Centre national de la recherche scientifique,Sorbonne Université,Université Paris Cité;CNRS,SORBONNE UNIV.,U PARIS Cité;EPST,UNIV,UNIV;Organismes de type EPST,Université,Université;0753639Y,0755890V,0755976N;18008901303720,13002338500011,13002573700011;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;201221216N;200519851K;;;;;1;Mathématiques et leurs interactions;PE1;Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199712632Y&PUBLIC=OK
201622497N;Institut de biosciences et biotechnologies d'Aix-Marseille (UMR 7265);BIAM;2012;Unité mixte;22;2;http://biam.cea.fr/drf/biam/Pages/biam/presentation-biam.aspx;CEA Cadarache;13108;Saint Paul lez Durances;PIGNOL,FORESTIER;David,Cyrille;Directeur,Directeur adjoint;UMR 7265,UMR 7265;Centre national de la recherche scientifique,Commissariat à l'énergie atomique et aux énergies alternatives,Université Aix-Marseille;CNRS,CEA,AIX-MARSEILLE;EPST,EPIC,UNIV;Organismes de type EPST,Organismes de type EPIC,Université;0753639Y,0912281K,0134009M;18008901303720,77568501900587,13001533200013;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;201220265E;201622496M;196318607R;renouvellement;R;2016;;;LS1;Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201622497N&PUBLIC=OK
200919224L;Sciences - Philosophie - Histoire;SPHERE;2009;Unité mixte;22;2;http://www.sphere.univ-paris-diderot.fr/;UP Diderot - 5 rue Thomas Mann;75205;PARIS CEDEX 13;SOLÈNE,ROBERT;LELLINGER,Aurélien;Directrice adjointe,Directeur;UMR 7219,UMR 7219,UMR 7219;Université Panthéon-Sorbonne Paris 1,Centre national de la recherche scientifique,Université Paris Cité;PARIS 1,CNRS,U PARIS Cité;UNIV,EPST,UNIV;Université,Organismes de type EPST,Université;0751717J,0753639Y,0755976N;19751717000019,18008901303720,13002573700011;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;200112458S,199712642J;"fusion;fusion";"F;F";"2009;2009";6;Sciences humaines et humanités;SH2;Institutions, Governance and Legal Systems : Political science, international relations, law;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200919224L&PUBLIC=OK
201121631U;Unité Écologie et Émergence des Pathogènes Transmis par les Arthropodes;;2011;Unité propre;21;2;https://research.pasteur.fr/en/team/ecology-and-emergence-of-arthropod-borne-pathogens/;Institut Pasteur, 25-28 rue du Docteur ROUX;75724;Paris Cedex 15;SAKUNTABHAI;Anavaj;DIR;UMR 1510;Centre national de la recherche scientifique,Institut Pasteur,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;CNRS,INSTITUT PASTEUR,INRAE;EPST,FONDATION,EPST;Organismes de type EPST,Fondation et institut particulier (Institut pasteur, Institut Curie, etc.),Organismes de type EPST;0753639Y,0755366A;18008901303720,77568489700017,18007003901803;TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement participant;;201923234B,201119730C;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201121631U&PUBLIC=OK
